"customer_state","unique_customers","delivered_orders","delivered_order_share_pct"
SP,39065,40406,42.00
RJ,11879,12310,12.79
MG,10969,11319,11.76
RS,5151,5328,5.54
PR,4750,4903,5.10
SC,3441,3537,3.68
BA,3155,3253,3.38
DF,2013,2074,2.16
ES,1925,1992,2.07
GO,1889,1950,2.03
PE,1545,1587,1.65
CE,1252,1273,1.32
PA,918,942,0.98
MT,855,885,0.92
MA,696,713,0.74
MS,681,701,0.73
PB,503,516,0.54
PI,463,475,0.49
RN,460,470,0.49
AL,386,396,0.41
SE,326,332,0.35
TO,267,274,0.28
RO,231,243,0.25
AM,140,145,0.15
AC,76,80,0.08
AP,66,67,0.07
RR,39,40,0.04
