"order_month","total_revenue","revenue_growth_pct"
"2017-01-01","120312.87",NULL
"2017-02-01","247303.02","105.55"
"2017-03-01","374344.30","51.37"
"2017-04-01","359927.23","-3.85"
"2017-05-01","506071.14","40.60"
"2017-06-01","433038.60","-14.43"
"2017-07-01","498031.48","15.01"
"2017-08-01","573971.68","15.25"
"2017-09-01","624401.69","8.79"
"2017-10-01","664219.43","6.38"
"2017-11-01","1010271.37","52.10"
"2017-12-01","743914.17","-26.36"
"2018-01-01","950030.36","27.71"
"2018-02-01","844178.71","-11.14"
"2018-03-01","983213.44","16.47"
"2018-04-01","996647.75","1.37"
"2018-05-01","996517.68","-0.01"
"2018-06-01","865124.31","-13.19"
"2018-07-01","895507.22","3.51"
"2018-08-01","854686.33","-4.56"
